Titre,Lien,Note,Genre,Genre numerique
_summer,https://voiranime.com/anime/_summer/,3,Drama&Romance,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
_summer-specials,https://voiranime.com/anime/_summer-specials/,2.6,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hack-g-u-trilogy,https://voiranime.com/anime/hack-g-u-trilogy/,4.4,Action&Fantasy&Sci-Fi,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hack-gift,https://voiranime.com/anime/hack-gift/,3,Comedy&Fantasy,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hack-intermezzo,https://voiranime.com/anime/hack-intermezzo/,3,Adventure&Fantasy&Sci-Fi,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hack-quantum,https://voiranime.com/anime/hack-quantum/,3.8,Action&Adventure&Fantasy&Sci-Fi,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hack-roots,https://voiranime.com/anime/hack-roots/,3.3,Adventure&Drama&Fantasy&Sci-Fi,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hack-roots-vf,https://voiranime.com/anime/hack-roots-vf/,3.6,Adventure&Drama&Fantasy&Sci-Fi,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hack-sign,https://voiranime.com/anime/hack-sign/,3,Adventure&Fantasy&Sci-Fi,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hack-tasogare-no-udewa-densetsu,https://voiranime.com/anime/hack-tasogare-no-udewa-densetsu/,2.6,Adventure&Comedy&Fantasy&Sci-Fi,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hack-tasogare-no-udewa-densetsu-vf,https://voiranime.com/anime/hack-tasogare-no-udewa-densetsu-vf/,3.3,Adventure&Comedy&Fantasy&Sci-Fi,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hack-unison,https://voiranime.com/anime/hack-unison/,3.4,Adventure&Comedy&Fantasy&Sci-Fi,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
009-recyborg,https://voiranime.com/anime/009-recyborg/,3.1,Action&Adventure&Mecha&Sci-Fi,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
009-1,https://voiranime.com/anime/009-1/,2.9,Action&Mecha&Sci-Fi,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
009-1-special,https://voiranime.com/anime/009-1-special/,3,Action&Adventure&Drama&Sci-Fi,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
07-ghost,https://voiranime.com/anime/07-ghost/,4.1,Action&Fantasy,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100-man-no-inochi-no-ue-ni-ore-wa-tatteiru,https://voiranime.com/anime/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru/,4.1,Action&Drama&Fantasy,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-vf,https://voiranime.com/anime/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-vf/,3.9,Action&Drama&Fantasy,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-s2,https://voiranime.com/anime/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-s2/,4,Action&Drama&Fantasy,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-s2-vf,https://voiranime.com/anime/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-s2-vf/,3.9,Action&Drama&Fantasy,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a-kite,https://voiranime.com/anime/a-kite/,3.1,Action&Drama&Ecchi,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a-will-eternal,https://voiranime.com/anime/a-will-eternal/,4.2,Action&Chinese&Comedy&Fantasy,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a-channel,https://voiranime.com/anime/a-channel/,3.4,Comedy&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
a-channel-a-channelsmile,https://voiranime.com/anime/a-channel-a-channelsmile/,3.5,Comedy&Slice of Life,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
